filename,chroma_stft_mean,spectral_centroid_mean,spectral_bandwidth_mean,rolloff_mean,zero_crossing_rate_mean,label,mfcc1_mean,mfcc1_std,mfcc2_mean,mfcc2_std,mfcc3_mean,mfcc3_std,mfcc4_mean,mfcc4_std,mfcc5_mean,mfcc5_std,mfcc6_mean,mfcc6_std,mfcc7_mean,mfcc7_std,mfcc8_mean,mfcc8_std,mfcc9_mean,mfcc9_std,mfcc10_mean,mfcc10_std,mfcc11_mean,mfcc11_std,mfcc12_mean,mfcc12_std,mfcc13_mean,mfcc13_std,original_wav
90_0_2.4__6-chunk_0000.wav,0.3211666,2201.019638719307,1836.2408289491402,4082.7442515980115,0.1219482421875,NO_drone,-674.70825,51.862514,94.22593,45.970192,-22.380566,29.722797,60.259037,25.692688,-10.17982,22.468351,-29.479492,32.064835,-33.91426,9.977081,-3.563745,15.337125,-23.419172,11.651421,-4.4576344,9.284298,-16.3581,11.371029,-9.7165985,7.7030997,10.876175,9.318518,90_0_2.4__6.wav
90_0_2.4__6-chunk_0001.wav,0.31334057,2034.1687274567598,2233.4570633215576,4183.6747018914475,0.11256167763157894,NO_drone,-738.7518,38.698997,103.26067,34.29191,13.894684,18.020895,44.737255,13.461561,-3.0610805,19.962072,-11.517421,14.867606,-26.158846,8.93818,1.5539032,11.373111,-16.770357,9.811419,-1.1754612,6.634434,-9.4045515,12.632077,-3.0331566,5.009496,1.5502715,8.660704,90_0_2.4__6.wav
75_-30_2.4_1-chunk_0000.wav,0.2721905,337.58424824199136,1007.7418259648642,337.19038529829544,0.013405539772727272,NO_drone,-786.76276,48.06316,99.05679,9.020021,65.10575,8.72192,42.445156,5.8735805,30.353914,5.8162723,22.608135,5.1134796,18.076694,4.9004,15.989104,4.915649,13.574818,4.466721,9.906519,4.459377,6.4954877,4.594697,3.424134,4.3753586,0.19713272,3.1408567,75_-30_2.4_1.wav
75_-30_2.4_1-chunk_0001.wav,0.18449318,427.9735166282673,1136.8283147432937,318.83822354403407,0.015613902698863636,NO_drone,-796.12445,52.615307,114.144196,16.358572,54.571827,8.837634,34.833958,4.460429,20.683634,3.0218184,11.088894,4.19927,6.8233705,3.212628,4.1114798,3.1662667,1.3518575,3.3055606,-0.5735273,4.179885,-2.3877835,4.006515,-3.37314,2.7781103,-4.576742,2.6159153,75_-30_2.4_1.wav
75_-30_2.4_1-chunk_0002.wav,0.15997106,485.1277157680819,1067.1204355609518,408.6414683948864,0.023082386363636364,NO_drone,-797.78906,60.230446,102.62381,18.47575,50.219715,7.8794723,28.538136,5.3448977,16.853567,5.535569,5.4556813,4.217134,-0.46649522,3.8118942,-2.6824508,4.1158996,-4.3245997,5.2648463,-7.4021473,6.3247795,-10.447916,7.5287437,-13.374541,8.284428,-16.403107,6.6960864,75_-30_2.4_1.wav
75_-30_2.4_1-chunk_0003.wav,0.14000848,635.7742328267292,1165.058448959238,501.1363636363636,0.03420188210227273,NO_drone,-803.55426,64.03161,94.22502,19.555685,40.561104,7.493975,20.9021,5.3517537,9.083041,6.962487,-1.2573439,6.520665,-9.161091,7.2294717,-15.257775,7.098817,-19.686045,4.8827567,-19.651964,3.328535,-16.278528,5.8207216,-10.108593,7.6602325,-2.7658937,8.678795,75_-30_2.4_1.wav
75_-30_2.4_1-chunk_0004.wav,0.13438742,772.6391012305612,1046.5565332190918,667.0399058948864,0.05062588778409091,NO_drone,-801.9786,50.178333,85.658066,22.336739,34.621048,8.415123,7.708551,8.381294,-7.3402042,8.456064,-19.028461,6.1766543,-23.162819,3.7004502,-18.112265,8.154145,-6.5615616,12.661048,7.1294265,14.334326,18.649727,13.692171,25.317987,10.878257,26.209572,9.485211,75_-30_2.4_1.wav
75_-30_2.4_1-chunk_0005.wav,0.13021007,1040.3490128076076,1039.0319908882675,914.9164373224431,0.07485129616477272,NO_drone,-794.4148,56.23272,80.06294,16.086895,17.74694,13.320726,-14.284409,8.834718,-24.643044,5.2542257,-15.995129,12.534235,6.0041075,18.226103,26.102137,12.612882,29.806402,10.415167,20.126057,18.390244,5.449594,20.467686,-7.7061663,15.574594,-12.0757265,13.68682,75_-30_2.4_1.wav
75_-30_2.4_1-chunk_0006.wav,0.13117681,1577.0004104980837,1414.2707251188167,1471.3539817116477,0.11067338423295454,NO_drone,-819.0102,45.291656,78.77538,14.15773,-8.117247,11.822757,-9.320985,9.535041,0.8692847,13.640588,26.583199,8.052888,25.811987,11.946334,2.8206618,18.51239,-12.0660095,7.990388,-4.0909495,14.234413,6.2748857,17.055368,18.534374,12.276234,10.010517,21.998446,75_-30_2.4_1.wav
75_-30_2.4_1-chunk_0007.wav,0.12720373,2124.3117847665426,1436.903292554285,2003.5666725852273,0.16379616477272727,NO_drone,-824.8564,34.952404,65.21596,6.010951,-13.333432,16.218735,13.348471,8.143687,25.367334,4.6681347,17.36641,13.919868,-15.183462,6.079204,-2.654019,15.167481,16.756338,9.177222,13.274786,14.322407,-3.6206014,13.083509,0.68299794,13.702441,10.582255,18.834135,75_-30_2.4_1.wav
